timestamp,tid,isMain,tracepoint,custom_stat_1,custom_stat_2,custom_stat_3,custom_stat_4
6730494049464,17699,true,exec(),,,,
6730494795241,17699,true,malloc(),8,8,8,
6730494872652,17699,true,malloc(),88,88,80,
6730494878471,17699,true,ent:pthread_create(),,,,
6730494907258,17699,true,ent:pthread_mutex_lock(),,,,
6730494915479,17699,true,ret:pthread_mutex_lock(),8221,,,
6730494919700,17699,true,ent:pthread_mutex_unlock(),,,,
6730494928231,17699,true,ret:pthread_mutex_unlock(),8531,,,
6730495025127,17701,false,fork(),,,,
6730495079041,17699,true,ret:pthread_create(),true,201926,,
6730495084739,17699,true,ent:pthread_create(),,,,
6730495121946,17699,true,ent:pthread_mutex_lock(),,,,
6730495129418,17699,true,ret:pthread_mutex_lock(),7472,,,
6730495132956,17699,true,ent:pthread_mutex_unlock(),,,,
6730495139998,17699,true,ret:pthread_mutex_unlock(),7042,,,
6730495209406,17701,false,malloc(),560,472,472,
6730495223173,17702,false,fork(),,,,
6730495258242,17699,true,ret:pthread_create(),true,174319,,
6730495263962,17699,true,ent:pthread_create(),,,,
6730495387793,17699,true,ent:pthread_mutex_lock(),,,,
6730495457721,17699,true,ret:pthread_mutex_lock(),69928,,,
6730495462647,17699,true,ent:pthread_mutex_unlock(),,,,
6730495470065,17699,true,ret:pthread_mutex_unlock(),7418,,,
6730495486822,17702,false,malloc(),1032,472,472,
6730495547950,17703,false,fork(),,,,
6730495612885,17699,true,ret:pthread_create(),true,349706,,
6730495670855,17699,true,ent:pthread_create(),,,,
6730495679780,17703,false,malloc(),1504,472,472,
6730495702044,17699,true,ent:pthread_mutex_lock(),,,,
6730495709980,17699,true,ret:pthread_mutex_lock(),7936,,,
6730495713462,17699,true,ent:pthread_mutex_unlock(),,,,
6730495720163,17699,true,ret:pthread_mutex_unlock(),6701,,,
6730495805818,17704,false,fork(),,,,
6730495933033,17699,true,ret:pthread_create(),true,263170,,
6730495991058,17699,true,ent:pthread_create(),,,,
6730496005383,17704,false,malloc(),1976,472,472,
6730496023393,17699,true,ent:pthread_mutex_lock(),,,,
6730496031218,17699,true,ret:pthread_mutex_lock(),7825,,,
6730496034679,17699,true,ent:pthread_mutex_unlock(),,,,
6730496041490,17699,true,ret:pthread_mutex_unlock(),6811,,,
6730496120356,17705,false,fork(),,,,
6730496220007,17699,true,ret:pthread_create(),true,229930,,
6730496278958,17699,true,ent:pthread_join(),,,,
6730496281315,17705,false,malloc(),2448,472,472,
6730499187672,17704,false,malloc(),2568,592,120,
6730499241169,17702,false,malloc(),2688,592,120,
6730499251766,17703,false,malloc(),2808,592,120,
6730499275819,17705,false,malloc(),2928,592,120,
6730499296511,17701,false,malloc(),3048,592,120,
6730499808933,17704,false,malloc(),7144,4688,4096,
6730499852094,17702,false,malloc(),11240,4688,4096,
6730499862958,17701,false,malloc(),15336,4688,4096,
6730499913844,17705,false,malloc(),19432,4688,4096,
6730499917027,17703,false,malloc(),23528,4688,4096,
6730500940148,17702,false,malloc(),23530,4690,2,
6730500946241,17704,false,malloc(),23532,4690,2,
6730500959642,17704,false,ent:pthread_mutex_lock(),,,,
6730500967754,17704,false,ret:pthread_mutex_lock(),8112,,,
6730500978477,17704,false,malloc(),23536,4694,4,
6730500988517,17704,false,malloc(),23538,4696,2,
6730500998524,17704,false,malloc(),23542,4700,4,
6730501008333,17704,false,malloc(),23582,4740,40,
6730501012940,17704,false,free(),23578,4736,4,
6730501019916,17704,false,ent:pthread_mutex_unlock(),,,,
6730501027057,17704,false,ret:pthread_mutex_unlock(),7141,,,
6730501030727,17704,false,free(),23576,4734,2,
6730501043512,17704,false,malloc(),23581,4739,5,
6730501046355,17704,false,ent:pthread_mutex_lock(),,,,
