32880712973647,2,96482
32880713186928,2,96483
32880713373367,2,96484
32880713527754,2,96485
32880713683758,2,96486
32880718372180,0,96485
32880718434123,1,96485
32880718449731,0,96485
32880718452629,1,96485
32880718462854,0,96485
32880718465643,1,96485
32880718475629,0,96485
32880718485213,1,96485
32880718495861,0,96485
32880718498379,1,96485
32880718509070,0,96485
32880718511870,1,96485
32880718521856,0,96485
32880718524494,1,96485
32880718534425,0,96485
32880718536965,1,96485
32880718547037,0,96485
32880718549729,1,96485
32880718559921,0,96485
32880718563188,1,96485
32880718574096,0,96485
32880718577027,1,96485
32880718587056,0,96485
32880718590182,1,96485
32880718600200,0,96485
32880718602881,1,96485
32880718612867,0,96485
32880718615515,1,96485
32880718625479,0,96485
32880718628247,1,96485
32880718638156,0,96485
32880718641033,1,96485
32880718651040,0,96485
32880718653797,1,96485
32880718663728,0,96485
32880718666876,1,96485
32880718676818,0,96485
32880718679879,1,96485
32880718688637,0,96483
32880718695215,1,96483
32880718756410,0,96483
32880718761652,1,96483
32880718774819,0,96485
32880718781364,1,96485
32880718830652,0,96484
32880718837501,1,96484
32880718862051,0,96483
32880718867989,1,96483
32880718898424,0,96484
32880718903699,1,96484
32880718929813,0,96483
32880718935001,1,96483
32880718960650,0,96484
32880718973447,1,96484
32880718983735,0,96482
32880718992060,1,96482
32880719007850,0,96486
32880719016294,1,96486
32880719031613,0,96484
32880719036443,1,96484
32880719043375,0,96486
32880719046891,1,96486
32880719055947,0,96482
32880719061330,1,96482
32880719075093,0,96483
32880719080955,1,96483
32880719093459,0,96484
32880719098137,1,96484
32880719112595,0,96484
32880719116025,1,96484
32880719128741,0,96486
32880719135319,1,96486
32880719170642,0,96484
32880719175016,1,96484
32880719198565,0,96486
32880719204252,1,96486
32880719217725,0,96483
32880719225583,1,96483
32880719245642,0,96482
32880719259784,1,96482
32880719289861,0,96483
32880719294832,1,96483
32880719321989,0,96482
32880719327144,1,96482
32880719351989,0,96483
32880719356417,1,96483
32880719367130,0,96483
32880719378983,1,96483
32880719396911,0,96485
32880719405453,1,96485
32880719441372,0,96486
32880719449805,1,96486
32880719468916,0,96485
32880719474158,1,96485
32880719513475,0,96486
32880719519086,1,96486
32880719533023,0,96482
32880719541684,1,96482
32880719555154,0,96483
32880719563598,1,96483
32880719604474,0,96482
32880719609630,1,96482
32880719628755,0,96483
32880719634279,1,96483
32880719666299,0,96482
32880719671726,1,96482
32880719685098,0,96486
32880719694269,1,96486
32880719709976,0,96484
32880719717748,1,96484
32880719759111,0,96486
32880719764147,1,96486
32880719777608,0,96485
32880719786041,1,96485
32880719848538,0,96485
32880719854041,1,96485
32880719864505,0,96485
32880719868000,1,96485
32880719924343,0,96485
32880719929498,1,96485
32880719940318,0,96486
32880719947753,1,96486
32880720011141,0,96486
32880720016611,1,96486
32880720072672,0,96486
32880720078142,1,96486
32880720088757,0,96486
32880720092415,1,96486
32880720147922,0,96486
32880720152676,1,96486
32880720163009,0,96486
32880720167025,1,96486
32880720223065,0,96486
32880720227829,1,96486
32880720283510,0,96486
32880720288243,1,96486
32880720344238,0,96486
32880720348634,1,96486
32880720359130,0,96482
32880720367781,1,96482
32880720430680,0,96482
32880720436541,1,96482
32880720493578,0,96482
32880720498506,1,96482
32880720511500,0,96485
32880720521029,1,96485
32880720544116,0,96485
32880720547567,1,96485
32880720602076,0,96485
32880720607373,1,96485
32880720663151,0,96485
32880720668199,1,96485
32880720678575,0,96485
32880720682330,1,96485
32880720738522,0,96485
32880720743417,1,96485
32880720753368,0,96482
32880720759360,1,96482
32880720820826,0,96482
32880720826926,1,96482
32880720884029,0,96482
32880720889054,1,96482
32880720945180,0,96482
32880720950075,1,96482
32880720963448,0,96483
32880720972098,1,96483
32880721035952,0,96483
32880721041694,1,96483
32880721098905,0,96483
32880721103866,1,96483
32880721160697,0,96483
32880721165299,1,96483
32880721221045,0,96483
32880721226331,1,96483
32880721235253,0,96482
32880721241125,1,96482
32880721301972,0,96482
32880721306922,1,96482
32880721362874,0,96482
32880721367639,1,96482
32880721423179,0,96482
32880721428660,1,96482
32880721484286,0,96482
32880721489724,1,96482
32880721500676,0,96482
32880721504562,1,96482
32880721560188,0,96482
32880721565898,1,96482
32880721621948,0,96482
32880721626864,1,96482
32880721682632,0,96482
32880721687516,1,96482
32880721743132,0,96482
32880721747040,1,96482
32880721757297,0,96482
32880721761226,1,96482
32880721816397,0,96482
32880721820673,1,96482
32880721876311,0,96482
32880721881043,1,96482
32880721936908,0,96482
32880721942433,1,96482
32880721998320,0,96482
32880722003660,1,96482
32880722016642,0,96483
32880722025336,1,96483
32880722089505,0,96483
32880722094954,1,96483
32880722152013,0,96483
32880722157093,1,96483
32880722212980,0,96483
32880722217777,1,96483
32880722228696,0,96486
32880722237260,1,96486
32880722300951,0,96486
32880722306302,1,96486
32880722363958,0,96486
32880722369223,1,96486
32880722425718,0,96486
32880722430938,1,96486
32880722441532,0,96486
32880722444853,1,96486
32880722501337,0,96486
32880722506482,1,96486
32880722516989,0,96486
32880722520419,1,96486
32880722576219,0,96486
32880722580702,1,96486
32880722635862,0,96486
32880722641006,1,96486
32880722651048,0,96485
32880722659687,1,96485
32880722696948,0,96486
32880722701582,1,96486
32880722712947,0,96484
32880722720848,1,96484
32880722740592,0,96483
32880722749763,1,96483
32880722784605,0,96484
32880722788957,1,96484
32880722803089,0,96482
32880722810621,1,96482
32880722826110,0,96486
32880722834501,1,96486
32880722873195,0,96482
32880722878177,1,96482
32880722898289,0,96486
32880722903825,1,96486
32880722912899,0,96484
32880722920941,1,96484
32880722934346,0,96482
32880722940413,1,96482
32880722954307,0,96483
32880722962892,1,96483
32880722984372,0,96484
32880722989734,1,96484
32880723025552,0,96483
32880723030990,1,96483
32880723040444,0,96486
32880723049898,1,96486
32880723063820,0,96482
32880723070778,1,96482
32880723112742,0,96486
32880723117366,1,96486
32880723134219,0,96482
32880723140308,1,96482
32880723149917,0,96483
32880723156224,1,96483
32880723173492,0,96486
32880723179570,1,96486
32880723189991,0,96484
32880723199315,1,96484
32880723216909,0,96484
32880723220947,1,96484
32880723231713,0,96485
32880723240363,1,96485
32880723256102,0,96482
32880723264611,1,96482
32880723303197,0,96485
32880723308515,1,96485
32880723326945,0,96482
32880723332025,1,96482
32880723364956,0,96485
32880723369775,1,96485
32880723381292,0,96483
32880723387261,1,96483
32880723448391,0,96483
32880723454697,1,96483
32880723466549,0,96486
32880723474408,1,96486
32880723537176,0,96486
32880723542506,1,96486
32880723555130,0,96485
32880723563792,1,96485
32880723626452,0,96485
32880723632107,1,96485
32880723645857,0,96482
32880723654030,1,96482
32880723716517,0,96482
32880723721271,1,96482
32880723777722,0,96482
32880723783377,1,96482
32880723793688,0,96482
32880723797314,1,96482
32880723807256,0,96483
32880723816167,1,96483
32880723879088,0,96483
32880723885057,1,96483
32880723942507,0,96483
32880723948151,1,96483
32880724004288,0,96483
32880724010247,1,96483
32880724020808,0,96483
32880724024857,1,96483
32880724081286,0,96483
32880724086713,1,96483
32880724095592,0,96482
32880724102343,1,96482
32880724163386,0,96482
32880724168921,1,96482
32880724224971,0,96482
32880724230409,1,96482
32880724285982,0,96482
32880724291268,1,96482
32880724305205,0,96484
32880724313682,1,96484
32880724377612,0,96484
32880724382301,1,96484
32880724392678,0,96484
32880724397519,1,96484
32880724455066,0,96484
32880724459875,1,96484
32880724516641,0,96484
32880724521764,1,96484
32880724578802,0,96484
32880724583610,1,96484
32880724591890,0,96482
32880724599966,1,96482
32880724639389,0,96484
32880724644523,1,96484
32880724655615,0,96484
32880724659002,1,96484
32880724671515,0,96486
32880724678397,1,96486
32880724714629,0,96484
32880724719665,1,96484
32880724731789,0,96485
32880724740135,1,96485
32880724760746,0,96483
32880724768680,1,96483
32880724802535,0,96485
32880724807669,1,96485
32880724831471,0,96483
32880724836735,1,96483
32880724864055,0,96485
32880724869808,1,96485
32880724893642,0,96483
32880724898483,1,96483
32880724907513,0,96482
32880724914243,1,96482
32880724925836,0,96485
32880724930623,1,96485
32880724975915,0,96482
32880724981516,1,96482
32880724988485,0,96485
32880724994021,1,96485
32880725004092,0,96483
32880725009780,1,96483
32880725025724,0,96483
32880725029795,1,96483
32880725037935,0,96482
32880725043156,1,96482
32880725049962,0,96485
32880725055758,1,96485
32880725100172,0,96482
32880725105826,1,96482
32880725113100,0,96485
32880725118516,1,96485
32880725132279,0,96485
32880725136588,1,96485
32880725161952,0,96482
32880725168074,1,96482
32880725190543,0,96485
32880725203687,1,96485
32880725224471,0,96482
32880725229920,1,96482
32880725240004,0,96483
32880725247102,1,96483
32880725260432,0,96485
32880725265750,1,96485
32880725308655,0,96483
32880725313431,1,96483
32880725321431,0,96485
32880725327097,1,96485
32880725344104,0,96482
32880725352179,1,96482
32880725382952,0,96485
32880725388954,1,96485
32880725414568,0,96482
